LoanApplicationSubmitted,BBZM9464482055,1324.869073,,,,,,24/03/2022-13:42:21.187,24/03/2022-13:42:21.187
LoanApplicationReceived,BBZM9464482055,1324.869073,,,,,,24/03/2022-13:49:21.187,24/03/2022-13:42:21.537
LoanApplicationSubmitted,GPCG7225739325,877.6487173,,,,,,24/03/2022-13:51:21.203,24/03/2022-13:42:21.637
LoanApplicationReceived,GPCG7225739325,877.6487173,,,,,,24/03/2022-13:55:21.203,24/03/2022-13:42:21.837
VerifiedAmount,BBZM9464482055,1324.869073,,,,,,24/03/2022-13:56:21.187,24/03/2022-13:42:21.887
VerifiedAmount,GPCG7225739325,877.6487173,,,,,,24/03/2022-14:01:21.203,24/03/2022-13:42:22.137
LoanApplicationSubmitted,VGDJ3738360047,894.3656495,,,,,,24/03/2022-14:05:21.218,24/03/2022-13:42:22.337
CreditCheck,BBZM9464482055,1324.869073,669.3527676,,,,,24/03/2022-14:09:21.187,24/03/2022-13:42:22.537
VerifiedCreditCheck,BBZM9464482055,1324.869073,669.3527676,,skilled,,,24/03/2022-14:09:21.187,24/03/2022-13:42:22.537
LoanApplicationReceived,VGDJ3738360047,894.3656495,,,,,,24/03/2022-14:09:21.218,24/03/2022-13:42:22.537
VerifiedAmount,VGDJ3738360047,894.3656495,,,,,,24/03/2022-14:12:21.218,24/03/2022-13:42:22.687
RiskAssesment,GPCG7225739325,877.6487173,,0.635819379,,,,24/03/2022-14:13:21.203,24/03/2022-13:42:22.737
VerifiedRiskAssesment,GPCG7225739325,877.6487173,,0.635819379,skilled,,,24/03/2022-14:13:21.203,24/03/2022-13:42:22.737
LoanApplicationSubmitted,PSJB9352218037,785.4062756,,,,,,24/03/2022-14:13:21.218,24/03/2022-13:42:22.737
LoanApplicationReceived,PSJB9352218037,785.4062756,,,,,,24/03/2022-14:16:21.218,24/03/2022-13:42:22.887
RiskAssesment,VGDJ3738360047,894.3656495,,0.532783229,,,,24/03/2022-14:18:21.218,24/03/2022-13:42:22.987
VerifiedRiskAssesment,VGDJ3738360047,894.3656495,,0.532783229,novice,,,24/03/2022-14:18:21.218,24/03/2022-13:42:22.987
SkilledAgentDecision,BBZM9464482055,1324.869073,,,skilled,REJECTED,,24/03/2022-14:19:21.187,24/03/2022-13:42:23.037
LoanApplicationSubmitted,TVQR6803663889,1173.081526,,,,,,24/03/2022-14:20:21.234,24/03/2022-13:42:23.087
VerifiedAmount,PSJB9352218037,785.4062756,,,,,,24/03/2022-14:22:21.218,24/03/2022-13:42:23.187
ApplicationDecision,BBZM9464482055,1324.869073,,,skilled,REJECTED,,24/03/2022-14:23:21.187,24/03/2022-13:42:23.237
SkilledAgentDecision,GPCG7225739325,877.6487173,,,skilled,REJECTED,,24/03/2022-14:23:21.203,24/03/2022-13:42:23.237
LoanApplicationSubmitted,DNAK3663881946,539.6922606,,,,,,24/03/2022-14:23:21.274,24/03/2022-13:42:23.237
ApplicationDecision,GPCG7225739325,877.6487173,,,skilled,REJECTED,,24/03/2022-14:25:21.203,24/03/2022-13:42:23.337
LoanApplicationReceived,TVQR6803663889,1173.081526,,,,,,24/03/2022-14:26:21.234,24/03/2022-13:42:23.387
LoanApplicationSubmitted,KEKQ3683341113,1348.962353,,,,,,24/03/2022-14:28:21.306,24/03/2022-13:42:23.487
NoviceAgentDecision,VGDJ3738360047,894.3656495,,,novice,ACCEPTED,,24/03/2022-14:31:21.218,24/03/2022-13:42:23.637
VerifiedAmount,TVQR6803663889,1173.081526,,,,,,24/03/2022-14:31:21.234,24/03/2022-13:42:23.637
LoanApplicationSubmitted,HFSA9806910417,847.7586198,,,,,,24/03/2022-14:31:21.337,24/03/2022-13:42:23.637
LoanApplicationReceived,DNAK3663881946,539.6922606,,,,,,24/03/2022-14:32:21.274,24/03/2022-13:42:23.687
LoanApplicationReceived,KEKQ3683341113,1348.962353,,,,,,24/03/2022-14:32:21.306,24/03/2022-13:42:23.687
VerifiedAmount,DNAK3663881946,539.6922606,,,,,,24/03/2022-14:35:21.274,24/03/2022-13:42:23.837
RiskAssesment,PSJB9352218037,785.4062756,,0.50838075,,,,24/03/2022-14:37:21.218,24/03/2022-13:42:23.937
ApplicationDecision,VGDJ3738360047,894.3656495,,,novice,ACCEPTED,,24/03/2022-14:37:21.218,24/03/2022-13:42:23.937
VerifiedRiskAssesment,PSJB9352218037,785.4062756,,0.50838075,novice,,,24/03/2022-14:37:21.218,24/03/2022-13:42:23.937
LoanApplicationReceived,HFSA9806910417,847.7586198,,,,,,24/03/2022-14:37:21.337,24/03/2022-13:42:23.937
VerifiedAmount,HFSA9806910417,847.7586198,,,,,,24/03/2022-14:41:21.337,24/03/2022-13:42:24.137
VerifiedAmount,KEKQ3683341113,1348.962353,,,,,,24/03/2022-14:42:21.306,24/03/2022-13:42:24.187
VerifiedCreditCheck,TVQR6803663889,1173.081526,397.7846784,,skilled,,,24/03/2022-14:43:21.234,24/03/2022-13:42:24.237
CreditCheck,TVQR6803663889,1173.081526,397.7846784,,,,,24/03/2022-14:43:21.234,24/03/2022-13:42:24.237
LoanApplicationSubmitted,VIDK6083510374,1063.807819,,,,,,24/03/2022-14:44:21.358,24/03/2022-13:42:24.287
NoviceAgentDecision,PSJB9352218037,785.4062756,,,novice,ACCEPTED,,24/03/2022-14:45:21.218,24/03/2022-13:42:24.337
RiskAssesment,DNAK3663881946,539.6922606,,0.691191988,,,,24/03/2022-14:48:21.274,24/03/2022-13:42:24.487
VerifiedRiskAssesment,DNAK3663881946,539.6922606,,0.691191988,skilled,,,24/03/2022-14:48:21.274,24/03/2022-13:42:24.487
ApplicationDecision,PSJB9352218037,785.4062756,,,novice,ACCEPTED,,24/03/2022-14:50:21.218,24/03/2022-13:42:24.587
VerifiedRiskAssesment,HFSA9806910417,847.7586198,,0.622887224,skilled,,,24/03/2022-14:50:21.337,24/03/2022-13:42:24.587
RiskAssesment,HFSA9806910417,847.7586198,,0.622887224,,,,24/03/2022-14:50:21.337,24/03/2022-13:42:24.587
LoanApplicationReceived,VIDK6083510374,1063.807819,,,,,,24/03/2022-14:52:21.358,24/03/2022-13:42:24.687
VerifiedAmount,VIDK6083510374,1063.807819,,,,,,24/03/2022-14:56:21.358,24/03/2022-13:42:24.887
VerifiedCreditCheck,KEKQ3683341113,1348.962353,527.0340117,,skilled,,,24/03/2022-14:57:21.306,24/03/2022-13:42:24.937
CreditCheck,KEKQ3683341113,1348.962353,527.0340117,,,,,24/03/2022-14:57:21.306,24/03/2022-13:42:24.937
LoanApplicationSubmitted,HZLG5420937030,950.1259249,,,,,,24/03/2022-14:57:21.376,24/03/2022-13:42:24.937
SkilledAgentDecision,TVQR6803663889,1173.081526,,,skilled,REJECTED,,24/03/2022-14:59:21.234,24/03/2022-13:42:25.037
SkilledAgentDecision,HFSA9806910417,847.7586198,,,skilled,REJECTED,,24/03/2022-15:02:21.337,24/03/2022-13:42:25.187
LoanApplicationReceived,HZLG5420937030,950.1259249,,,,,,24/03/2022-15:02:21.376,24/03/2022-13:42:25.187
SkilledAgentDecision,DNAK3663881946,539.6922606,,,skilled,REJECTED,,24/03/2022-15:03:21.274,24/03/2022-13:42:25.237
ApplicationDecision,TVQR6803663889,1173.081526,,,skilled,REJECTED,,24/03/2022-15:04:21.234,24/03/2022-13:42:25.287
CreditCheck,VIDK6083510374,1063.807819,812.3276193,,,,,24/03/2022-15:04:21.358,24/03/2022-13:42:25.287
VerifiedCreditCheck,VIDK6083510374,1063.807819,812.3276193,,novice,,,24/03/2022-15:04:21.358,24/03/2022-13:42:25.287
