VerifiedAmount,GPCG7225739325,877.6487173,0,0,,,24/03/2022-14:35:07.073
VerifiedAmount,VGDJ3738360047,894.3656495,0,0,,,24/03/2022-14:46:07.085
RiskAssesment,GPCG7225739325,877.6487173,0,0.635819379,,,24/03/2022-14:47:07.073
CreditCheck,BBZM9464482055,1324.869073,669.3527676,0,,,24/03/2022-14:43:07.051
ApplicationDecision,TVQR6803663889,1173.081526,0,0,skilled,REJECTED,24/03/2022-15:38:07.131
ApplicationDecision,PSJB9352218037,785.4062756,0,0,novice,ACCEPTED,24/03/2022-15:24:07.113
VerifiedCreditCheck,TVQR6803663889,1173.081526,397.7846784,0,skilled,,24/03/2022-15:17:07.131
VerifiedRiskAssesment,DNAK3663881946,539.6922606,0,0.691191988,skilled,,24/03/2022-15:22:07.134
LoanApplicationReceived,TVQR6803663889,1173.081526,0,0,,,24/03/2022-15:00:07.131
LoanApplicationSubmitted,TVQR6803663889,1173.081526,0,0,,,24/03/2022-14:54:07.131
ApplicationDecision,VGDJ3738360047,894.3656495,0,0,novice,ACCEPTED,24/03/2022-15:11:07.085
CreditCheck,TVQR6803663889,1173.081526,397.7846784,0,,,24/03/2022-15:17:07.131
VerifiedCreditCheck,KEKQ3683341113,1348.962353,527.0340117,0,skilled,,24/03/2022-15:31:07.167
LoanApplicationReceived,HFSA9806910417,847.7586198,0,0,,,24/03/2022-15:11:07.170
VerifiedAmount,KEKQ3683341113,1348.962353,0,0,,,24/03/2022-15:16:07.167
ApplicationDecision,KEKQ3683341113,1348.962353,0,0,skilled,REJECTED,24/03/2022-15:49:07.167
LoanApplicationSubmitted,PSJB9352218037,785.4062756,0,0,,,24/03/2022-14:47:07.113
NoviceAgentDecision,PSJB9352218037,785.4062756,0,0,novice,ACCEPTED,24/03/2022-15:19:07.113
VerifiedRiskAssesment,VGDJ3738360047,894.3656495,0,0.532783229,novice,,24/03/2022-14:52:07.085
VerifiedRiskAssesment,GPCG7225739325,877.6487173,0,0.635819379,skilled,,24/03/2022-14:47:07.073
RiskAssesment,PSJB9352218037,785.4062756,0,0.50838075,,,24/03/2022-15:11:07.113
LoanApplicationReceived,VGDJ3738360047,894.3656495,0,0,,,24/03/2022-14:43:07.085
LoanApplicationSubmitted,VGDJ3738360047,894.3656495,0,0,,,24/03/2022-14:39:07.085
VerifiedRiskAssesment,PSJB9352218037,785.4062756,0,0.50838075,novice,,24/03/2022-15:11:07.113
VerifiedAmount,BBZM9464482055,1324.869073,0,0,,,24/03/2022-14:30:07.051
NoviceAgentDecision,VGDJ3738360047,894.3656495,0,0,novice,ACCEPTED,24/03/2022-15:05:07.085
VerifiedAmount,HZLG5420937030,950.1259249,0,0,,,24/03/2022-15:42:07.210
LoanApplicationSubmitted,RLWT3920835441,587.9718581,0,0,,,24/03/2022-15:44:07.222
CreditCheck,AJUU1442538506,1292.421587,829.5849625,0,,,24/03/2022-16:00:07.216
VerifiedRiskAssesment,YYAX3112117200,923.1891291,0,0.62534065,skilled,,24/03/2022-16:04:07.263
