2014-04-03,05:33:15,0024a4dc00003356,slow,6.60,4,\N,68
2014-04-03,05:33:15,0024a4dc00003356,fast,10.34,7,\N,72
2014-04-03,05:33:15,0024a4dc00003356,onramp,0.00,0,\N,-1
2014-04-03,05:33:15,0024a4dc00003354,slow,0.00,0,\N,-1
2014-04-03,05:33:15,0024a4dc00003354,fast,17.49,11,\N,82
2014-04-03,05:33:15,0024a4dc00003354,onramp,19.74,10,\N,62
2014-04-03,05:33:15,0024a4dc0000343c,slow,16.48,9,\N,76
2014-04-03,05:33:15,0024a4dc0000343c,fast,25.96,16,\N,78
2014-04-03,05:33:15,0024a4dc0000343b,onramp,2.68,1,\N,-1
2014-04-03,05:33:15,0024a4dc0000343b,offramp,1.84,1,\N,70
2014-04-03,05:33:15,0024a4dc0000343b,slow_entry,13.18,7,\N,74
2014-04-03,05:33:15,0024a4dc0000343b,fast_entry,5.29,4,\N,88
2014-04-03,05:33:15,0024a4dc0000343b,slow_exit,8.13,5,\N,94
2014-04-03,05:33:15,0024a4dc0000343b,fast_exit,15.78,5,\N,102
2014-04-03,05:33:15,0024a4dc00003445,onramp,6.25,2,\N,52
2014-04-03,05:33:15,0024a4dc00003445,offramp,3.62,2,\N,48
2014-04-03,05:33:15,0024a4dc00003445,slow_entry,20.53,6,\N,46
2014-04-03,05:33:15,0024a4dc00003445,fast_entry,36.68,8,\N,22
2014-04-03,05:33:15,0024a4dc00003445,slow_exit,17.62,6,\N,46
2014-04-03,05:33:15,0024a4dc00003445,fast_exit,37.08,9,\N,38
2014-04-03,05:33:15,0024a4dc00003357,slow,26.72,5,\N,32
2014-04-03,05:33:15,0024a4dc00003357,fast,51.09,8,\N,32
2014-04-03,05:33:15,0024a4dc00000ddd,slow,19.19,4,\N,30
2014-04-03,05:33:15,0024a4dc00000ddd,fast,46.90,6,\N,22
2014-04-03,05:33:15,0024a4dc00000ddd,offramp,2.34,1,\N,72
2014-04-03,05:33:15,0024a4dc00000ddd,queue,1.60,1,\N,42
2014-04-03,05:33:15,0024a4dc00003355,slow,46.17,4,\N,14
2014-04-03,05:33:15,0024a4dc00003355,fast,20.46,7,\N,42
2014-04-03,05:33:15,0024a4dc00003355,onramp,3.83,1,\N,16
2014-04-03,05:33:15,0024a4dc00003355,slow_bis,41.61,7,\N,34
2014-04-03,05:33:15,0024a4dc00003355,fast_bis,26.17,8,\N,36
2014-04-03,05:33:15,0024a4dc000021d1,slow,10.36,4,\N,70
2014-04-03,05:33:15,0024a4dc000021d1,fast,16.15,11,\N,70
2014-04-03,05:33:15,0024a4dc000021d1,offramp,1.95,1,\N,56
2014-04-03,05:33:15,0024a4dc0000343f,slow,12.81,5,\N,68
2014-04-03,05:33:15,0024a4dc0000343f,fast,9.45,6,\N,82
2014-04-03,05:33:15,0024a4dc0000343f,onramp,4.53,2,\N,80
2014-04-03,05:33:15,0024a4dc00001b5c,,2.29,1,\N,-1
2014-04-03,05:33:15,0024a4dc000025ea,slow,20.00,6,\N,68
2014-04-03,05:33:15,0024a4dc000025ea,fast,8.23,6,\N,86
2014-04-03,05:33:15,0024a4dc000025ea,offramp,5.91,2,\N,78
2014-04-03,05:33:15,0024a4dc00001c99,queue,3.96,1,\N,-1
2014-04-03,05:33:15,0024a4dc000013c6,slow,14.92,6,\N,68
